Date,Price
2021-09-30,2100.0
2021-10-01,2237.5
2021-10-02,2375.0
2021-10-03,2512.5
2021-10-04,2650.0
2021-10-05,2787.5
2021-10-06,2925.0
2021-10-07,3062.5
2021-10-08,3200.0
2021-10-09,3200.0
2021-10-10,3450.0
2021-10-11,3700.0
2021-10-12,4200.0
2021-10-13,3950.0
2021-10-14,3700.0
2021-10-15,3783.3333333333335
2021-10-16,3866.6666666666665
2021-10-17,3950.0
2021-10-18,4033.3333333333335
2021-10-19,4116.666666666667
2021-10-20,4200.0
2021-10-21,3950.0
2021-10-22,3700.0
2021-10-23,3700.0
2021-10-24,3700.0
2021-10-25,3700.0
2021-10-26,3700.0
2021-10-27,3700.0
2021-10-28,3700.0
2021-10-29,3200.0
2021-10-30,3700.0
2021-10-31,3700.0
2021-11-01,3700.0
2021-11-02,3450.0
2021-11-03,3200.0
2021-11-04,3200.0
2021-11-05,3200.0
2021-11-06,3566.6666666666665
2021-11-07,3933.3333333333335
2021-11-08,4300.0
2021-11-09,4200.0
2021-11-10,4366.666666666667
2021-11-11,4533.333333333333
2021-11-12,4700.0
2021-11-13,4300.0
2021-11-14,3700.0
2021-11-15,4700.0
2021-11-16,4700.0
2021-11-17,4700.0
2021-11-18,4700.0
2021-11-19,5800.0
2021-11-20,5800.0
2021-11-21,5700.0
2021-11-22,7300.0
2021-11-23,7000.0
2021-11-24,6700.0
2021-11-25,5550.0
2021-11-26,4400.0
2021-11-27,3700.0
2021-11-28,4000.0
2021-11-29,4300.0
2021-11-30,4500.0
2021-12-01,4466.666666666667
2021-12-02,4433.333333333333
2021-12-03,4400.0
2021-12-04,4366.666666666667
2021-12-05,4333.333333333333
2021-12-06,4300.0
2021-12-07,4300.0
2021-12-08,4500.0
2021-12-09,4700.0
2021-12-10,4700.0
2021-12-11,4366.666666666667
2021-12-12,4033.3333333333335
2021-12-13,3700.0
2021-12-14,3700.0
2021-12-15,3700.0
2021-12-16,3800.0
2021-12-17,3916.6666666666665
2021-12-18,4033.3333333333335
2021-12-19,4150.0
2021-12-20,4266.666666666667
2021-12-21,4383.333333333333
2021-12-22,4500.0
2021-12-23,4383.333333333333
2021-12-24,4266.666666666667
2021-12-25,4150.0
2021-12-26,4033.3333333333335
2021-12-27,3916.6666666666665
2021-12-28,3800.0
2021-12-29,4300.0
2021-12-30,4300.0
2021-12-31,3700.0
2022-01-01,3366.6666666666665
2022-01-02,3033.3333333333335
2022-01-03,2700.0
2022-01-04,2700.0
2022-01-05,3200.0
2022-01-06,2700.0
2022-01-07,2700.0
2022-01-08,2600.0
2022-01-09,2700.0
2022-01-10,2700.0
2022-01-11,2700.0
2022-01-12,2200.0
2022-01-13,2200.0
2022-01-14,2200.0
2022-01-15,2200.0
2022-01-16,2200.0
2022-01-17,2200.0
2022-01-18,2141.6666666666665
2022-01-19,2083.3333333333335
2022-01-20,2025.0
2022-01-21,1966.6666666666667
2022-01-22,1908.3333333333333
2022-01-23,1850.0
2022-01-24,1791.6666666666665
2022-01-25,1733.3333333333333
2022-01-26,1675.0
2022-01-27,1616.6666666666665
2022-01-28,1558.3333333333333
2022-01-29,1500.0
2022-01-30,1500.0
2022-01-31,1500.0
2022-02-01,1500.0
2022-02-02,1500.0
2022-02-03,1500.0
2022-02-04,1500.0
2022-02-05,1500.0
2022-02-06,1500.0
2022-02-07,1500.0
2022-02-08,1300.0
2022-02-09,1400.0
2022-02-10,1500.0
2022-02-11,1400.0
2022-02-12,1300.0
2022-02-13,1200.0
2022-02-14,1100.0
2022-02-15,1100.0
2022-02-16,1075.0
2022-02-17,1050.0
2022-02-18,1025.0
2022-02-19,1000.0
2022-02-20,975.0
2022-02-21,950.0
2022-02-22,925.0
2022-02-23,900.0
2022-02-24,875.0
2022-02-25,850.0
2022-02-26,825.0
2022-02-27,800.0
2022-02-28,700.0
2022-03-01,600.0
2022-03-02,650.0
2022-03-03,600.0
2022-03-04,600.0
2022-03-05,600.0
2022-03-06,600.0
2022-03-07,600.0
2022-03-08,600.0
2022-03-09,850.0
2022-03-10,900.0
2022-03-11,750.0
2022-03-12,750.0
2022-03-13,600.0
2022-03-14,900.0
2022-03-15,750.0
2022-03-16,750.0
2022-03-17,750.0
2022-03-18,675.0
2022-03-19,600.0
2022-03-20,600.0
2022-03-21,600.0
2022-03-22,600.0
2022-03-23,700.0
2022-03-24,700.0
2022-03-25,750.0
2022-03-26,700.0
2022-03-27,600.0
2022-03-28,600.0
2022-03-29,600.0
2022-03-30,600.0
2022-03-31,600.0
2022-04-01,600.0
2022-04-02,650.0
2022-04-03,700.0
2022-04-04,900.0
2022-04-05,750.0
2022-04-06,950.0
2022-04-07,700.0
2022-04-08,500.0
2022-04-09,500.0
2022-04-10,500.0
2022-04-11,500.0
2022-04-12,500.0
2022-04-13,600.0
2022-04-14,400.0
2022-04-15,600.0
2022-04-16,600.0
2022-04-17,750.0
2022-04-18,900.0
2022-04-19,1050.0
2022-04-20,900.0
2022-04-21,1000.0
2022-04-22,1050.0
2022-04-23,1400.0
2022-04-24,1200.0
2022-04-25,1400.0
2022-04-26,1600.0
2022-04-27,1900.0
2022-04-28,1900.0
2022-04-29,2300.0
2022-04-30,2900.0
2022-05-01,2766.6666666666665
2022-05-02,2633.3333333333335
2022-05-03,2500.0
2022-05-04,2500.0
2022-05-05,3000.0
2022-05-06,3000.0
2022-05-07,3000.0
2022-05-08,3000.0
2022-05-09,3000.0
2022-05-10,3000.0
2022-05-11,2500.0
2022-05-12,3000.0
2022-05-13,3092.5
2022-05-14,3185.0
2022-05-15,3277.5
2022-05-16,3370.0
2022-05-17,3462.5
2022-05-18,3555.0
2022-05-19,3647.5
2022-05-20,3740.0
2022-05-21,3832.5
2022-05-22,3925.0
2022-05-23,4017.5
2022-05-24,4110.0
2022-05-25,4202.5
2022-05-26,4295.0
2022-05-27,4387.5
2022-05-28,4480.0
2022-05-29,4572.5
2022-05-30,4665.0
2022-05-31,4757.5
2022-06-01,4850.0
2022-06-02,4900.0
2022-06-03,5150.0
2022-06-04,4900.0
2022-06-05,4400.0
2022-06-06,5800.0
2022-06-07,5700.0
2022-06-08,4900.0
2022-06-09,4900.0
2022-06-10,4900.0
2022-06-11,4900.0
2022-06-12,4700.0
2022-06-13,5700.0
2022-06-14,5400.0
2022-06-15,4650.0
2022-06-16,4850.0
2022-06-17,4150.0
2022-06-18,4400.0
2022-06-19,4900.0
2022-06-20,5800.0
2022-06-21,5200.0
2022-06-22,3900.0
2022-06-23,3900.0
2022-06-24,3650.0
2022-06-25,3850.0
2022-06-26,3000.0
2022-06-27,4800.0
2022-06-28,2000.0
2022-06-29,2000.0
2022-06-30,2000.0
2022-07-01,2000.0
2022-07-02,1850.0
2022-07-03,2200.0
2022-07-04,2300.0
2022-07-05,1850.0
2022-07-06,1500.0
2022-07-07,1500.0
2022-07-08,1500.0
2022-07-09,1500.0
2022-07-10,1350.0
2022-07-11,1500.0
2022-07-12,1750.0
2022-07-13,1900.0
2022-07-14,1650.0
2022-07-15,1800.0
2022-07-16,1800.0
2022-07-17,1650.0
2022-07-18,1800.0
2022-07-19,1450.0
2022-07-20,1650.0
2022-07-21,1500.0
