Date,Price
2021-09-18,2000.0
2021-09-19,2000.0
2021-09-20,2000.0
2021-09-21,2000.0
2021-09-22,2000.0
2021-09-23,2000.0
2021-09-24,2000.0
2021-09-25,2000.0
2021-09-26,2000.0
2021-09-27,2000.0
2021-09-28,2000.0
2021-09-29,2200.0
2021-09-30,2400.0
2021-10-01,2200.0
2021-10-02,2200.0
2021-10-03,2200.0
2021-10-04,2400.0
2021-10-05,2600.0
2021-10-06,2700.0
2021-10-07,2800.0
2021-10-08,3000.0
2021-10-09,3400.0
2021-10-10,3200.0
2021-10-11,3600.0
2021-10-12,4400.0
2021-10-13,4400.0
2021-10-14,4400.0
2021-10-15,4400.0
2021-10-16,4400.0
2021-10-17,4600.0
2021-10-18,4600.0
2021-10-19,4400.0
2021-10-20,4300.0
2021-10-21,4200.0
2021-10-22,3100.0
2021-10-23,3200.0
2021-10-24,2950.0
2021-10-25,3350.0
2021-10-26,2950.0
2021-10-27,3100.0
2021-10-28,2950.0
2021-10-29,3150.0
2021-10-30,2800.0
2021-10-31,3050.0
2021-11-01,3325.0
2021-11-02,3600.0
2021-11-03,3700.0
2021-11-04,3800.0
2021-11-05,4400.0
2021-11-06,4000.0
2021-11-07,3800.0
2021-11-08,3800.0
2021-11-09,4300.0
2021-11-10,4350.0
2021-11-11,4400.0
2021-11-12,4400.0
2021-11-13,5200.0
2021-11-14,5200.0
2021-11-15,5350.0
2021-11-16,5500.0
2021-11-17,5581.818181818182
2021-11-18,5663.636363636364
2021-11-19,5745.454545454545
2021-11-20,5827.272727272727
2021-11-21,5909.090909090909
2021-11-22,5990.909090909091
2021-11-23,6072.727272727273
2021-11-24,6154.545454545454
2021-11-25,6236.363636363636
2021-11-26,6318.181818181818
2021-11-27,6400.0
2021-11-28,6333.333333333333
2021-11-29,6266.666666666667
2021-11-30,6200.0
2021-12-01,6133.333333333333
2021-12-02,6066.666666666667
2021-12-03,6000.0
2021-12-04,6200.0
2021-12-05,6400.0
2021-12-06,6400.0
2021-12-07,6600.0
2021-12-08,6300.0
2021-12-09,6000.0
2021-12-10,5720.0
2021-12-11,5440.0
2021-12-12,5160.0
2021-12-13,4880.0
2021-12-14,4600.0
2021-12-15,4500.0
2021-12-16,4400.0
2021-12-17,4200.0
2021-12-18,3600.0
2021-12-19,3600.0
2021-12-20,3800.0
2021-12-21,4000.0
2021-12-22,4300.0
2021-12-23,4600.0
2021-12-24,4600.0
2021-12-25,4600.0
2021-12-26,4560.0
2021-12-27,4520.0
2021-12-28,4480.0
2021-12-29,4440.0
2021-12-30,4400.0
2021-12-31,4400.0
2022-01-01,4200.0
2022-01-02,4000.0
2022-01-03,3800.0
2022-01-04,3600.0
2022-01-05,3400.0
2022-01-06,3200.0
2022-01-07,3000.0
2022-01-08,2700.0
2022-01-09,3000.0
2022-01-10,3000.0
2022-01-11,2700.0
2022-01-12,2850.0
2022-01-13,3000.0
2022-01-14,2625.0
2022-01-15,2250.0
2022-01-16,2800.0
2022-01-17,2250.0
2022-01-18,2200.0
2022-01-19,2150.0
2022-01-20,2100.0
2022-01-21,2050.0
2022-01-22,2000.0
2022-01-23,2000.0
2022-01-24,2000.0
2022-01-25,2000.0
2022-01-26,2000.0
2022-01-27,2000.0
2022-01-28,2000.0
2022-01-29,2000.0
2022-01-30,2000.0
2022-01-31,1900.0
2022-02-01,1900.0
2022-02-02,1900.0
2022-02-03,1900.0
2022-02-04,2000.0
2022-02-05,1900.0
2022-02-06,1800.0
2022-02-07,1800.0
2022-02-08,1800.0
2022-02-09,1650.0
2022-02-10,1500.0
2022-02-11,1500.0
2022-02-12,1450.0
2022-02-13,1500.0
2022-02-14,1500.0
2022-02-15,1500.0
2022-02-16,1450.0
2022-02-17,1400.0
2022-02-18,1400.0
2022-02-19,1400.0
2022-02-20,1400.0
2022-02-21,1200.0
2022-02-22,1100.0
2022-02-23,1050.0
2022-02-24,1000.0
2022-02-25,1000.0
2022-02-26,1000.0
2022-02-27,1000.0
2022-02-28,987.5
2022-03-01,975.0
2022-03-02,962.5
2022-03-03,950.0
2022-03-04,937.5
2022-03-05,925.0
2022-03-06,912.5
2022-03-07,900.0
2022-03-08,1000.0
2022-03-09,1000.0
2022-03-10,1000.0
2022-03-11,1000.0
2022-03-12,1000.0
2022-03-13,1000.0
2022-03-14,1000.0
2022-03-15,1100.0
2022-03-16,1050.0
2022-03-17,1000.0
2022-03-18,1100.0
2022-03-19,1200.0
2022-03-20,1200.0
2022-03-21,1200.0
2022-03-22,1200.0
2022-03-23,1012.5
2022-03-24,825.0
2022-03-25,825.0
2022-03-26,775.0
2022-03-27,775.0
2022-03-28,875.0
2022-03-29,875.0
2022-03-30,550.0
2022-03-31,925.0
2022-04-01,1100.0
2022-04-02,1100.0
2022-04-03,1100.0
2022-04-04,1100.0
2022-04-05,1000.0
2022-04-06,912.5
2022-04-07,825.0
2022-04-08,775.0
2022-04-09,775.0
2022-04-10,875.0
2022-04-11,925.0
2022-04-12,1200.0
2022-04-13,1100.0
2022-04-14,875.0
2022-04-15,1150.0
2022-04-16,1550.0
2022-04-17,1550.0
2022-04-18,1350.0
2022-04-19,1475.0
2022-04-20,1500.0
2022-04-21,1650.0
2022-04-22,1650.0
2022-04-23,1650.0
2022-04-24,1500.0
2022-04-25,2300.0
2022-04-26,1850.0
2022-04-27,1500.0
2022-04-28,2900.0
2022-04-29,2550.0
2022-04-30,2425.0
2022-05-01,2800.0
2022-05-02,3200.0
2022-05-03,3200.0
2022-05-04,3200.0
2022-05-05,3200.0
2022-05-06,3200.0
2022-05-07,3300.0
2022-05-08,3400.0
2022-05-09,3500.0
2022-05-10,3600.0
2022-05-11,3700.0
2022-05-12,3800.0
2022-05-13,3900.0
2022-05-14,4000.0
2022-05-15,4100.0
2022-05-16,4200.0
2022-05-17,4225.0
2022-05-18,4250.0
2022-05-19,4250.0
2022-05-20,4403.571428571428
2022-05-21,4557.142857142857
2022-05-22,4710.714285714286
2022-05-23,4864.285714285715
2022-05-24,5017.857142857143
2022-05-25,5171.428571428572
2022-05-26,5325.0
2022-05-27,5478.571428571428
2022-05-28,5632.142857142857
2022-05-29,5785.714285714286
2022-05-30,5939.285714285715
2022-05-31,6092.857142857143
2022-06-01,6246.428571428572
2022-06-02,6400.0
2022-06-03,6400.0
2022-06-04,6400.0
2022-06-05,6400.0
2022-06-06,6400.0
2022-06-07,6400.0
2022-06-08,6400.0
2022-06-09,6400.0
2022-06-10,6400.0
2022-06-11,6400.0
2022-06-12,6400.0
2022-06-13,6400.0
2022-06-14,6000.0
2022-06-15,5800.0
2022-06-16,5600.0
2022-06-17,5200.0
2022-06-18,5200.0
2022-06-19,5000.0
2022-06-20,4850.0
2022-06-21,4700.0
2022-06-22,4550.0
2022-06-23,4400.0
2022-06-24,3700.0
2022-06-25,3875.0
2022-06-26,3750.0
2022-06-27,3650.0
2022-06-28,2600.0
2022-06-29,2300.0
2022-06-30,2900.0
2022-07-01,3000.0
2022-07-02,3000.0
2022-07-03,3000.0
2022-07-04,3000.0
2022-07-05,3000.0
2022-07-06,3000.0
2022-07-07,3000.0
2022-07-08,2600.0
2022-07-09,2600.0
2022-07-10,2628.5714285714284
2022-07-11,2657.1428571428573
2022-07-12,2685.714285714286
2022-07-13,2714.285714285714
2022-07-14,2742.8571428571427
2022-07-15,2771.4285714285716
2022-07-16,2800.0
2022-07-17,2600.0
2022-07-18,2400.0
2022-07-19,2400.0
2022-07-20,2400.0
2022-07-21,2400.0
2022-07-22,2400.0
2022-07-23,2050.0
2022-07-24,1950.0
2022-07-25,2050.0
2022-07-26,1500.0
2022-07-27,1100.0
2022-07-28,1450.0
2022-07-29,1450.0
2022-07-30,1100.0
2022-07-31,1500.0
2022-08-01,1800.0
2022-08-02,2000.0
2022-08-03,1400.0
2022-08-04,1500.0
2022-08-05,1750.0
2022-08-06,1650.0
2022-08-07,1100.0
2022-08-08,1100.0
2022-08-09,1500.0
2022-08-10,1500.0
2022-08-11,1100.0
2022-08-12,1100.0
2022-08-13,1350.0
2022-08-14,1450.0
2022-08-15,1550.0
2022-08-16,1750.0
2022-08-17,1500.0
2022-08-18,1100.0
2022-08-19,1100.0
2022-08-20,1100.0
2022-08-21,1100.0
2022-08-22,1550.0
2022-08-23,1700.0
2022-08-24,1650.0
2022-08-25,1750.0
2022-08-26,1350.0
2022-08-27,1650.0
2022-08-28,1650.0
2022-08-29,1750.0
2022-08-30,1500.0
2022-08-31,1500.0
2022-09-01,2350.0
2022-09-02,3175.0
2022-09-03,2900.0
2022-09-04,3250.0
2022-09-05,2700.0
2022-09-06,2250.0
2022-09-07,1900.0
2022-09-08,1900.0
2022-09-09,2100.0
2022-09-10,3375.0
2022-09-11,3225.0
2022-09-12,4100.0
2022-09-13,4075.0
2022-09-14,2900.0
2022-09-15,3775.0
2022-09-16,3675.0
2022-09-17,3750.0
2022-09-18,3875.0
2022-09-19,3550.0
2022-09-20,3375.0
2022-09-21,2900.0
2022-09-22,3250.0
2022-09-23,2700.0
2022-09-24,2650.0
2022-09-25,2300.0
2022-09-26,2650.0
2022-09-27,3650.0
2022-09-28,2900.0
2022-09-29,2900.0
2022-09-30,3600.0
2022-10-01,3475.0
2022-10-02,3350.0
2022-10-03,3350.0
2022-10-04,3800.0
2022-10-05,3800.0
2022-10-06,3575.0
2022-10-07,3350.0
2022-10-08,3800.0
2022-10-09,3100.0
2022-10-10,3100.0
2022-10-11,3250.0
2022-10-12,3400.0
2022-10-13,3250.0
2022-10-14,3775.0
2022-10-15,3650.0
2022-10-16,3350.0
2022-10-17,3100.0
2022-10-18,3100.0
2022-10-19,3100.0
2022-10-20,3100.0
2022-10-21,3100.0
2022-10-22,3100.0
2022-10-23,2350.0
2022-10-24,2100.0
2022-10-25,1700.0
2022-10-26,1700.0
2022-10-27,1700.0
2022-10-28,1350.0
2022-10-29,1400.0
2022-10-30,1350.0
2022-10-31,1350.0
2022-11-01,1500.0
2022-11-02,1300.0
2022-11-03,1350.0
2022-11-04,1500.0
2022-11-05,1300.0
2022-11-06,1100.0
2022-11-07,1100.0
2022-11-08,1300.0
2022-11-09,1100.0
2022-11-10,1100.0
2022-11-11,1100.0
2022-11-12,1100.0
2022-11-13,1100.0
2022-11-14,900.0
2022-11-15,900.0
2022-11-16,1100.0
2022-11-17,900.0
2022-11-18,1150.0
2022-11-19,1575.0
2022-11-20,1300.0
2022-11-21,1550.0
2022-11-22,1350.0
2022-11-23,1350.0
2022-11-24,1350.0
2022-11-25,1200.0
2022-11-26,1150.0
2022-11-27,1250.0
2022-11-28,1250.0
2022-11-29,1250.0
2022-11-30,1100.0
2022-12-01,1250.0
2022-12-02,1200.0
2022-12-03,1150.0
2022-12-04,1200.0
2022-12-05,1150.0
2022-12-06,1100.0
2022-12-07,750.0
2022-12-08,1100.0
2022-12-09,1000.0
2022-12-10,1075.0
2022-12-11,1175.0
2022-12-12,1150.0
2022-12-13,1150.0
2022-12-14,900.0
2022-12-15,1050.0
2022-12-16,1050.0
2022-12-17,900.0
2022-12-18,1000.0
2022-12-19,1150.0
2022-12-20,1075.0
2022-12-21,900.0
2022-12-22,925.0
2022-12-23,925.0
2022-12-24,550.0
2022-12-25,750.0
2022-12-26,875.0
2022-12-27,900.0
2022-12-28,650.0
2022-12-29,875.0
2022-12-30,775.0
2022-12-31,775.0
2023-01-01,825.0
2023-01-02,900.0
2023-01-03,725.0
2023-01-04,650.0
2023-01-05,725.0
2023-01-06,725.0
2023-01-07,725.0
2023-01-08,725.0
2023-01-09,725.0
2023-01-10,875.0
2023-01-11,550.0
2023-01-12,750.0
2023-01-13,975.0
2023-01-14,750.0
2023-01-15,700.0
2023-01-16,1100.0
2023-01-17,700.0
2023-01-18,700.0
2023-01-19,750.0
2023-01-20,650.0
2023-01-21,1100.0
2023-01-22,750.0
2023-01-23,900.0
2023-01-24,1500.0
2023-01-25,1100.0
2023-01-26,1100.0
2023-01-27,1100.0
2023-01-28,1250.0
2023-01-29,1250.0
2023-01-30,1250.0
2023-01-31,1100.0
2023-02-01,900.0
2023-02-02,900.0
2023-02-03,750.0
2023-02-04,750.0
2023-02-05,750.0
2023-02-06,1250.0
2023-02-07,1100.0
2023-02-08,1100.0
2023-02-09,1900.0
2023-02-10,900.0
2023-02-11,1550.0
2023-02-12,900.0
2023-02-13,1750.0
2023-02-14,1100.0
2023-02-15,1700.0
2023-02-16,1300.0
2023-02-17,1300.0
2023-02-18,1300.0
2023-02-19,1500.0
2023-02-20,1500.0
2023-02-21,1700.0
2023-02-22,1300.0
2023-02-23,1300.0
2023-02-24,1350.0
2023-02-25,1350.0
2023-02-26,1500.0
2023-02-27,1300.0
2023-02-28,1300.0
2023-03-01,1500.0
2023-03-02,1900.0
2023-03-03,1500.0
2023-03-04,1500.0
2023-03-05,1500.0
2023-03-06,1100.0
2023-03-07,1100.0
2023-03-08,1500.0
2023-03-09,1900.0
2023-03-10,1100.0
2023-03-11,1100.0
2023-03-12,1100.0
2023-03-13,1100.0
2023-03-14,1100.0
2023-03-15,1100.0
2023-03-16,1100.0
2023-03-17,1100.0
2023-03-18,1300.0
2023-03-19,1100.0
2023-03-20,1500.0
2023-03-21,1500.0
2023-03-22,1100.0
2023-03-23,1100.0
